Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons)
S15746200149,11/18/2013,2648,Hy-Vee #4 / WDM,555 S 51ST ST,WEST DES MOINES,50265,"555 S 51ST ST
WEST DES MOINES 50265
(41.561219, -93.773583)",77.0,Polk,1062050.0,BARBADOS RUM,205.0,E AND J GALLO WINERY,42437,Shellback Silver,12,750,$6.49,$10.49,6,$62.94,4.5,1.19
S25702800002,05/18/2015,2590,Hy-Vee Food Store #5 / Cedar Rapids,3235 OAKLAND ROAD NE,CEDAR RAPIDS,52402,"3235 OAKLAND ROAD NE
CEDAR RAPIDS 52402
(42.010972, -91.658105)",57.0,Linn,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42244,Blue Chair Bay Coconut Spiced,12,750,$9.42,$14.13,4,$56.52,3.0,0.79
S23084000025,12/19/2014,2571,Hy-Vee Food Store #2 / Waterloo,2181 LOGAN AVE,WATERLOO,50703,"2181 LOGAN AVE
WATERLOO 50703
(42.530476, -92.337583)",7.0,Black Hawk,1062050.0,BARBADOS RUM,460.0,Shaw Ross International Importers LL,44266,British Navy Pusser's Rum,6,750,$12.02,$18.03,6,$108.18,4.5,1.19
S26255800119,06/17/2015,2623,Hy-Vee Food Store #4 / Sioux City,2827 HAMILTON BLVD,SIOUX CITY,51104,"2827 HAMILTON BLVD
SIOUX CITY 51104
(42.519884, -96.417783)",97.0,Woodbury,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.23,$14.22,2,$28.44,1.5,0.4
S25282200045,04/27/2015,2528,Hy-Vee Food Store #3 / Des Moines,3221 SE 14TH ST,DES MOINES,50315,"3221 SE 14TH ST
DES MOINES 50315
(41.553941, -93.596756)",77.0,Polk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S25824100074,05/26/2015,4209,Wal-Mart 5748 / Grimes,2150 EAST 1ST ST,GRIMES,50111,"2150 EAST 1ST ST
GRIMES 50111
(41.688335, -93.771771)",77.0,Polk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42242,Blue Chair Bay Coconut,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S24195400120,02/24/2015,2620,Hy-Vee / Windsor Heights,7101 UNIVERSITY AVE,WINDSOR HEIGHTS,50311,"7101 UNIVERSITY AVE
WINDSOR HEIGHTS 50311
(41.600375, -93.715949)",77.0,Polk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,4,$57.00,3.0,0.79
S18322100059,04/09/2014,2465,Sid's Beverage Shop,2727 DODGE ST,DUBUQUE,52003,"2727 DODGE ST
DUBUQUE 52003
(42.4918, -90.704724)",31.0,Dubuque,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$9.50,$14.25,12,$171.00,9.0,2.38
S07452500120,08/30/2012,3926,Liquor Downtown / Iowa City,315 S GILBERT ST,IOWA CITY,52240,"315 S GILBERT ST
IOWA CITY 52240
(41.657654, -91.530181)",52.0,Johnson,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42666,Mt. Gay Eclipse Rum,12,750,$8.49,$13.11,3,$39.33,2.25,0.59
S29360500124,11/30/2015,2521,Hy-Vee Food and Drug / Grand / WDM,1990 GRAND AVENUE,WEST DES MOINES,50265,"1990 GRAND AVENUE
WEST DES MOINES 50265
(41.571127, -93.73162)",77.0,Polk,1062050.0,BARBADOS RUM,154.0,Iowa Distilling Company,46939,Steel Drum,6,750,$12.17,$18.26,2,$36.52,1.5,0.4
S26565900057,07/07/2015,4209,Wal-Mart 5748 / Grimes,2150 EAST 1ST ST,GRIMES,50111,"2150 EAST 1ST ST
GRIMES 50111
(41.688335, -93.771771)",77.0,Polk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,12,$169.56,9.0,2.38
S27907100056,09/15/2015,4344,Spirits / Grimes,109 EAST 1ST ST STE B,GRIMES,50111,"109 EAST 1ST ST STE B
GRIMES 50111
(41.6884, -93.793812)",77.0,Polk,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,1,$14.13,0.75,0.2
S24725800121,03/25/2015,2614,Hy-Vee #3 Food and Drugstore,1823 E KIMBERLY RD,DAVENPORT,52807,"1823 E KIMBERLY RD
DAVENPORT 52807
(41.556781, -90.548919)",82.0,Scott,1062050.0,BARBADOS RUM,305.0,MHW Ltd,42240,Blue Chair Bay White,12,750,$9.42,$14.13,2,$28.26,1.5,0.4
S16183500094,12/10/2013,3942,Twin Town Liquor,104 HIGHWAY 30 WEST,TOLEDO,52342,"104 HIGHWAY 30 WEST
TOLEDO 52342
(41.985887, -92.579244)",86.0,Tama,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,$14.99,$22.49,2,$44.98,1.5,0.4
S15511100077,11/04/2013,2643,Hy-Vee Wine and Spirits / Waterloo,2126 KIMBALL AVE,WATERLOO,50701,"2126 KIMBALL AVE
WATERLOO 50701
",7.0,Black Hawk,1062050.0,BARBADOS RUM,389.0,REMY COINTREAU USA         .,42507,Mt. Gay Black Barrel,12,750,$14.99,$22.49,4,$89.96,3.0,0.79
